"STATE.UT","DISTRICT","YEAR","MURDER","ATTEMPT.TO.MURDER","CULPABLE.HOMICIDE.NOT.AMOUNTING.TO.MURDER","RAPE","CUSTODIAL.RAPE","OTHER.RAPE","KIDNAPPING...ABDUCTION","KIDNAPPING.AND.ABDUCTION.OF.WOMEN.AND.GIRLS","KIDNAPPING.AND.ABDUCTION.OF.OTHERS","DACOITY","PREPARATION.AND.ASSEMBLY.FOR.DACOITY","ROBBERY","BURGLARY","THEFT","AUTO.THEFT","OTHER.THEFT","RIOTS","CRIMINAL.BREACH.OF.TRUST","CHEATING","COUNTERFIETING","ARSON","HURT.GREVIOUS.HURT","DOWRY.DEATHS","ASSAULT.ON.WOMEN.WITH.INTENT.TO.OUTRAGE.HER.MODESTY","INSULT.TO.MODESTY.OF.WOMEN","CRUELTY.BY.HUSBAND.OR.HIS.RELATIVES","IMPORTATION.OF.GIRLS.FROM.FOREIGN.COUNTRIES","CAUSING.DEATH.BY.NEGLIGENCE","OTHER.IPC.CRIMES","TOTAL.IPC.CRIMES","IS_HYDERABAD","ERA","VIOLENT_CRIMES","PROPERTY_CRIMES","WOMEN_CRIMES","RISK_LEVEL"
"ANDHRA PRADESH","GUNTAKAL RLY.",2013,2,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,0,0,3,4,1,11,0,3,2,0,0,0,24,301,FALSE,"2011-2014",2,251,5,"LOW"
"ANDHRA PRADESH","GUNTUR",2013,110,87,1,38,0,38,61,54,7,4,0,21,192,675,200,475,41,41,305,11,21,2345,16,296,135,608,0,449,1569,7026,FALSE,"2011-2014",321,1067,1055,"HIGH"
"ANDHRA PRADESH","GUNTUR URBAN",2013,44,51,3,28,0,28,46,34,12,2,1,26,190,991,408,583,11,15,372,5,14,1180,7,124,93,326,0,226,1123,4878,FALSE,"2011-2014",197,1589,550,"LOW"
"ANDHRA PRADESH","HYDERABAD CITY",2013,120,145,5,101,0,101,131,52,79,6,0,47,658,4166,1353,2813,118,75,2382,47,62,3092,39,225,90,1480,0,527,2839,16355,TRUE,"2011-2014",550,6177,1834,"HIGH"
"ANDHRA PRADESH","KARIMNAGAR",2013,101,89,10,57,0,57,118,103,15,3,0,20,349,771,242,529,96,120,706,3,45,2593,39,354,276,670,0,535,1881,8836,FALSE,"2011-2014",388,1362,1339,"HIGH"
"ANDHRA PRADESH","KHAMMAM",2013,103,99,10,100,0,100,114,104,10,6,0,16,455,887,340,547,135,52,636,3,42,2268,15,254,297,768,0,483,3864,10607,FALSE,"2011-2014",438,1682,1334,"HIGH"
"ANDHRA PRADESH","KRISHNA",2013,56,46,0,58,0,58,54,37,17,0,1,18,316,579,154,425,15,31,203,12,45,2596,14,387,274,708,0,404,1059,6876,FALSE,"2011-2014",232,1049,1383,"HIGH"
"ANDHRA PRADESH","KURNOOL",2013,127,175,0,26,0,26,72,50,22,12,0,27,252,565,21,544,128,16,506,6,35,2531,11,374,199,203,0,478,1852,7595,FALSE,"2011-2014",439,838,787,"HIGH"
"ANDHRA PRADESH","MAHABOOBNAGAR",2013,191,69,31,117,0,117,90,63,27,8,0,18,394,1207,13,1194,130,52,269,6,56,2381,33,219,98,234,0,756,1733,8092,FALSE,"2011-2014",493,1614,584,"HIGH"
"ANDHRA PRADESH","MEDAK",2013,128,77,6,64,0,64,44,38,6,3,0,14,414,775,245,530,45,25,358,6,58,1970,25,169,73,476,0,733,1591,7054,FALSE,"2011-2014",330,1434,743,"HIGH"
