"STATE.UT","DISTRICT","YEAR","MURDER","ATTEMPT.TO.MURDER","CULPABLE.HOMICIDE.NOT.AMOUNTING.TO.MURDER","RAPE","CUSTODIAL.RAPE","OTHER.RAPE","KIDNAPPING...ABDUCTION","KIDNAPPING.AND.ABDUCTION.OF.WOMEN.AND.GIRLS","KIDNAPPING.AND.ABDUCTION.OF.OTHERS","DACOITY","PREPARATION.AND.ASSEMBLY.FOR.DACOITY","ROBBERY","BURGLARY","THEFT","AUTO.THEFT","OTHER.THEFT","RIOTS","CRIMINAL.BREACH.OF.TRUST","CHEATING","COUNTERFIETING","ARSON","HURT.GREVIOUS.HURT","DOWRY.DEATHS","ASSAULT.ON.WOMEN.WITH.INTENT.TO.OUTRAGE.HER.MODESTY","INSULT.TO.MODESTY.OF.WOMEN","CRUELTY.BY.HUSBAND.OR.HIS.RELATIVES","IMPORTATION.OF.GIRLS.FROM.FOREIGN.COUNTRIES","CAUSING.DEATH.BY.NEGLIGENCE","OTHER.IPC.CRIMES","TOTAL.IPC.CRIMES","IS_HYDERABAD","ERA","VIOLENT_CRIMES","PROPERTY_CRIMES","WOMEN_CRIMES","RISK_LEVEL"
"ANDHRA PRADESH","NALGONDA",2013,98,100,5,77,0,77,118,110,8,13,0,27,375,810,244,566,231,91,499,2,49,3315,27,367,313,327,0,746,2701,10291,FALSE,"2011-2014",433,1429,1034,"HIGH"
"ANDHRA PRADESH","NELLORE",2013,99,110,2,26,0,26,95,81,14,4,2,41,364,1077,323,754,29,129,223,3,29,2533,8,263,221,374,0,455,1239,7326,FALSE,"2011-2014",375,1764,866,"HIGH"
"ANDHRA PRADESH","NIZAMABAD",2013,117,56,12,49,0,49,54,33,21,5,1,18,480,1035,338,697,84,41,373,3,60,1796,17,142,295,732,0,572,1720,7662,FALSE,"2011-2014",299,1853,1186,"HIGH"
"ANDHRA PRADESH","PRAKASHAM",2013,77,101,6,39,0,39,65,57,8,7,0,30,238,694,233,461,93,81,294,4,27,2274,8,298,26,484,0,492,1061,6399,FALSE,"2011-2014",319,1165,816,"HIGH"
"ANDHRA PRADESH","RAJAHMUNDRY",2013,14,15,2,14,0,14,15,4,11,1,0,18,160,314,132,182,12,22,48,1,11,757,2,67,68,209,0,136,365,2251,FALSE,"2011-2014",77,606,346,"LOW"
"ANDHRA PRADESH","RANGA REDDY",2013,80,47,8,37,0,37,25,25,0,1,0,13,96,173,17,156,18,9,94,1,25,626,14,69,23,168,0,182,482,2191,FALSE,"2011-2014",203,286,274,"LOW"
"ANDHRA PRADESH","SECUNDERABAD RLY.",2013,7,2,0,0,0,0,2,2,0,0,0,1,0,737,0,737,0,1,11,5,0,10,0,11,0,0,0,2,60,849,FALSE,"2011-2014",12,737,11,"LOW"
"ANDHRA PRADESH","SRIKAKULAM",2013,35,49,1,42,0,42,26,23,3,1,0,11,190,307,72,235,22,15,153,1,31,1124,3,207,129,361,0,319,1814,4841,FALSE,"2011-2014",164,569,700,"LOW"
"ANDHRA PRADESH","TIRUPATHI URBAN",2013,26,21,1,10,0,10,22,15,7,0,0,15,190,827,326,501,22,3,197,0,4,565,7,45,31,133,0,200,502,2821,FALSE,"2011-2014",94,1343,216,"LOW"
"ANDHRA PRADESH","VIJAYAWADA CITY",2013,29,55,8,48,0,48,72,45,27,2,0,66,323,2173,783,1390,6,124,459,6,24,1955,12,249,456,1227,0,325,1359,8978,FALSE,"2011-2014",272,3279,1944,"HIGH"
"ANDHRA PRADESH","VIJAYAWADA RLY.",2013,6,2,0,1,0,1,1,1,0,3,0,9,0,625,0,625,1,1,3,53,0,11,2,6,5,0,0,0,44,773,FALSE,"2011-2014",22,625,13,"LOW"
"ANDHRA PRADESH","VISAKHA RURAL",2013,46,41,1,32,0,32,30,23,7,1,0,5,132,329,31,298,46,6,113,6,27,1137,8,139,79,210,0,302,548,3238,FALSE,"2011-2014",155,492,436,"LOW"
"ANDHRA PRADESH","VISAKHAPATNAM",2013,30,50,1,67,0,67,58,50,8,5,0,26,355,1203,332,871,9,64,336,1,21,1356,8,149,100,548,0,379,2009,6775,FALSE,"2011-2014",236,1890,805,"HIGH"
"ANDHRA PRADESH","VIZIANAGARAM",2013,30,38,2,42,0,42,25,25,0,1,0,7,180,230,2,228,30,18,124,3,13,1609,10,165,95,383,0,289,1624,4918,FALSE,"2011-2014",143,412,653,"LOW"
"ANDHRA PRADESH","WARANGAL",2013,52,54,4,52,0,52,63,63,0,1,0,17,256,327,17,310,140,3,237,2,0,1789,20,206,10,129,0,290,1769,5421,FALSE,"2011-2014",239,600,365,"LOW"
"ANDHRA PRADESH","WARANGAL URBAN",2013,24,20,2,36,0,36,56,47,9,1,0,18,197,459,179,280,51,2,363,1,20,1442,16,127,81,195,0,198,1131,4440,FALSE,"2011-2014",155,835,419,"LOW"
"ANDHRA PRADESH","WEST GODAVARI",2013,85,67,2,123,0,123,96,86,10,5,0,19,490,1090,311,779,20,57,446,9,40,2460,16,342,245,855,0,575,1456,8498,FALSE,"2011-2014",395,1891,1458,"HIGH"
"ANDHRA PRADESH","ZZ TOTAL",2013,2484,2249,170,1635,0,1635,2119,1595,524,125,5,709,9820,31032,9040,21992,1944,1555,13015,240,932,60488,492,6930,4702,15084,0,13641,48644,218015,FALSE,"2011-2014",9321,49892,27208,"HIGH"
"TELANGANA","ADILABAD",2014,101,79,17,42,NA,NA,46,NA,NA,1,NA,7,292,505,136,NA,38,43,223,NA,37,NA,16,NA,NA,384,NA,399,2339,6036,FALSE,"2011-2014",276,933,NA,"HIGH"
"ANDHRA PRADESH","ANANTAPUR",2014,134,171,8,35,NA,NA,125,NA,NA,6,NA,30,415,753,240,NA,214,13,296,NA,12,NA,25,NA,NA,165,NA,638,3800,8376,FALSE,"2011-2014",501,1408,NA,"HIGH"
"ANDHRA PRADESH","CHITTOOR",2014,84,170,2,32,NA,NA,38,NA,NA,12,NA,22,195,528,192,NA,134,7,207,NA,23,NA,17,NA,NA,278,NA,538,2567,5374,FALSE,"2011-2014",358,915,NA,"LOW"
"ANDHRA PRADESH","CUDDAPAH",2014,80,162,1,28,NA,NA,27,NA,NA,3,NA,16,144,638,193,NA,104,86,163,NA,0,NA,16,NA,NA,91,NA,417,2604,5803,FALSE,"2011-2014",316,975,NA,"HIGH"
"TELANGANA","CYBERABAD",2014,144,124,12,139,NA,NA,165,NA,NA,15,NA,62,1122,4182,1698,NA,51,190,2347,NA,57,NA,48,NA,NA,1329,NA,1038,4863,19311,FALSE,"2011-2014",649,7002,NA,"HIGH"
"ANDHRA PRADESH","EAST GODAVARI",2014,64,84,2,85,NA,NA,66,NA,NA,3,NA,24,346,903,347,NA,27,96,214,NA,50,NA,7,NA,NA,464,NA,668,3791,7630,FALSE,"2011-2014",326,1596,NA,"HIGH"
"ANDHRA PRADESH","GUNTAKAL RAILWAY",2014,14,4,0,0,NA,NA,0,NA,NA,2,NA,4,0,413,0,NA,1,0,5,NA,0,NA,0,NA,NA,0,NA,4,37,490,FALSE,"2011-2014",24,413,NA,"LOW"
"ANDHRA PRADESH","GUNTUR",2014,105,137,4,49,NA,NA,64,NA,NA,5,NA,24,210,711,200,NA,78,22,328,NA,52,NA,16,NA,NA,454,NA,494,2606,6897,FALSE,"2011-2014",384,1121,NA,"HIGH"
"ANDHRA PRADESH","GUNTUR URBAN",2014,51,65,0,40,NA,NA,84,NA,NA,5,NA,31,173,1045,367,NA,8,23,531,NA,35,NA,12,NA,NA,345,NA,226,1740,5798,FALSE,"2011-2014",276,1585,NA,"HIGH"
"TELANGANA","HYDERABAD CITY",2014,118,163,6,126,NA,NA,374,NA,NA,9,NA,58,754,4266,1396,NA,57,97,2557,NA,20,NA,22,NA,NA,1289,NA,441,5584,18940,TRUE,"2011-2014",848,6416,NA,"HIGH"
"TELANGANA","KARIMNAGAR",2014,109,136,14,66,NA,NA,106,NA,NA,5,NA,36,377,735,245,NA,87,108,813,NA,38,NA,34,NA,NA,737,NA,543,3845,9382,FALSE,"2011-2014",458,1357,NA,"HIGH"
"TELANGANA","KHAMMAM",2014,76,85,7,102,NA,NA,73,NA,NA,1,NA,15,432,746,278,NA,94,40,845,NA,16,NA,18,NA,NA,530,NA,482,3566,11022,FALSE,"2011-2014",352,1456,NA,"HIGH"
"ANDHRA PRADESH","KRISHNA",2014,51,47,1,80,NA,NA,41,NA,NA,0,NA,15,302,521,141,NA,9,24,242,NA,23,NA,8,NA,NA,613,NA,418,3942,7078,FALSE,"2011-2014",234,964,NA,"HIGH"
"ANDHRA PRADESH","KURNOOL",2014,118,135,5,32,NA,NA,53,NA,NA,3,NA,28,244,563,9,NA,108,20,639,NA,33,NA,12,NA,NA,362,NA,506,3522,8398,FALSE,"2011-2014",369,816,NA,"HIGH"
"TELANGANA","MAHABOOB NAGAR",2014,240,87,27,169,NA,NA,63,NA,NA,6,NA,23,369,1112,179,NA,105,36,252,NA,65,NA,30,NA,NA,209,NA,818,2714,7533,FALSE,"2011-2014",588,1660,NA,"HIGH"
"TELANGANA","MEDAK",2014,130,84,7,60,NA,NA,59,NA,NA,5,NA,20,384,787,246,NA,39,20,312,NA,45,NA,34,NA,NA,346,NA,780,2496,6931,FALSE,"2011-2014",358,1417,NA,"HIGH"
"TELANGANA","NALGONDA",2014,114,148,9,126,NA,NA,95,NA,NA,6,NA,30,383,722,204,NA,129,65,342,NA,67,NA,23,NA,NA,262,NA,732,3884,9254,FALSE,"2011-2014",519,1309,NA,"HIGH"
"ANDHRA PRADESH","NELLORE",2014,78,117,4,58,NA,NA,153,NA,NA,8,NA,44,381,1058,362,NA,84,255,239,NA,45,NA,14,NA,NA,362,NA,466,3037,8175,FALSE,"2011-2014",458,1801,NA,"HIGH"
"TELANGANA","NIZAMABAD",2014,122,60,12,36,NA,NA,57,NA,NA,5,NA,21,416,712,278,NA,46,26,306,NA,65,NA,25,NA,NA,658,NA,560,2529,7053,FALSE,"2011-2014",301,1406,NA,"HIGH"
"ANDHRA PRADESH","PRAKASHAM",2014,75,68,7,50,NA,NA,50,NA,NA,5,NA,23,247,617,209,NA,124,98,261,NA,28,NA,8,NA,NA,402,NA,502,2687,6367,FALSE,"2011-2014",271,1073,NA,"HIGH"
"ANDHRA PRADESH","RAJAHMUNDRY",2014,18,18,1,35,NA,NA,15,NA,NA,3,NA,14,214,361,155,NA,16,56,105,NA,13,NA,3,NA,NA,190,NA,128,657,2430,FALSE,"2011-2014",103,730,NA,"LOW"
"TELANGANA","RANGA REDDY",2014,77,43,5,51,NA,NA,35,NA,NA,1,NA,12,106,183,26,NA,2,2,81,NA,36,NA,10,NA,NA,192,NA,245,862,2309,FALSE,"2011-2014",219,315,NA,"LOW"
"TELANGANA","SECUNDERABAD RAILWAY",2014,4,2,0,2,NA,NA,1,NA,NA,0,NA,3,1,760,0,NA,0,2,4,NA,0,NA,0,NA,NA,0,NA,1,72,860,FALSE,"2011-2014",12,761,NA,"LOW"
"ANDHRA PRADESH","SRIKAKULAM",2014,30,29,4,40,NA,NA,33,NA,NA,0,NA,8,152,236,52,NA,17,12,153,NA,18,NA,3,NA,NA,298,NA,284,2123,4727,FALSE,"2011-2014",140,440,NA,"LOW"
"ANDHRA PRADESH","TIRUPATHI URBAN",2014,35,72,2,18,NA,NA,24,NA,NA,2,NA,8,227,1148,482,NA,31,11,248,NA,11,NA,13,NA,NA,167,NA,223,886,3651,FALSE,"2011-2014",159,1857,NA,"LOW"
"ANDHRA PRADESH","TOTAL",2014,1175,1540,52,961,NA,NA,1066,NA,NA,75,NA,433,4719,15617,4540,NA,1013,935,5091,NA,450,NA,215,NA,NA,6362,NA,7379,44187,114604,FALSE,"2011-2014",5250,24876,NA,"HIGH"
"TELANGANA","TOTAL",2014,1308,1062,123,979,NA,NA,1152,NA,NA,59,NA,308,4949,15342,4835,NA,766,635,8519,NA,482,NA,289,NA,NA,6369,NA,6514,37013,106830,FALSE,"2011-2014",4868,25126,NA,"HIGH"
"ANDHRA PRADESH","VIJAYAWADA CITY",2014,23,45,1,64,NA,NA,42,NA,NA,3,NA,48,345,2016,685,NA,2,68,391,NA,21,NA,10,NA,NA,642,NA,312,1835,7876,FALSE,"2011-2014",225,3046,NA,"HIGH"
"ANDHRA PRADESH","VIJAYAWADA RAILWAY",2014,1,1,1,0,NA,NA,3,NA,NA,0,NA,7,0,1085,3,NA,0,1,7,NA,0,NA,2,NA,NA,1,NA,1,59,1223,FALSE,"2011-2014",12,1088,NA,"LOW"
"ANDHRA PRADESH","VISAKHA RURAL",2014,43,50,4,38,NA,NA,24,NA,NA,5,NA,5,88,179,57,NA,14,6,90,NA,23,NA,4,NA,NA,166,NA,308,1236,3028,FALSE,"2011-2014",165,324,NA,"LOW"
"ANDHRA PRADESH","VISAKHAPATNAM",2014,38,57,0,84,NA,NA,130,NA,NA,4,NA,46,392,1358,401,NA,3,71,413,NA,14,NA,13,NA,NA,371,NA,360,2202,7728,FALSE,"2011-2014",359,2151,NA,"HIGH"
"ANDHRA PRADESH","VIZIANAGARAM",2014,43,23,1,47,NA,NA,27,NA,NA,2,NA,4,176,388,92,NA,13,14,149,NA,13,NA,8,NA,NA,330,NA,272,1990,5013,FALSE,"2011-2014",146,656,NA,"LOW"
"TELANGANA","WARANGAL",2014,47,29,7,41,NA,NA,45,NA,NA,4,NA,15,172,302,32,NA,83,5,178,NA,22,NA,17,NA,NA,218,NA,275,2163,4407,FALSE,"2011-2014",181,506,NA,"LOW"
"TELANGANA","WARANGAL URBAN",2014,26,22,0,19,NA,NA,33,NA,NA,1,NA,6,141,330,117,NA,35,1,259,NA,14,NA,12,NA,NA,215,NA,200,2096,3792,FALSE,"2011-2014",107,588,NA,"LOW"
"ANDHRA PRADESH","WEST GODAVARI",2014,90,85,4,146,NA,NA,67,NA,NA,4,NA,32,468,1096,353,NA,26,52,410,NA,36,NA,24,NA,NA,661,NA,614,2866,8542,FALSE,"2011-2014",424,1917,NA,"HIGH"
